"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0,0.99997,0.0072594,-0.078103,0.050084,0.38149
0,0.99997,0.00726,-0.078103,0.050092,0.38049
0,0.99997,0.0072621,-0.078103,0.050099,0.37949
0,0.99997,0.007262,-0.078103,0.050106,0.37848
0,0.99997,0.0072598,-0.078103,0.050114,0.37748
0,0.99997,0.007261,-0.078103,0.050121,0.37648
0,0.99997,0.0072622,-0.078103,0.050128,0.37547
0,0.99997,0.0072592,-0.078103,0.050135,0.37447
0,0.99997,0.0072596,-0.078103,0.050143,0.37346
0,0.99997,0.0072616,-0.078103,0.05015,0.37245
0,0.99997,0.0072615,-0.078103,0.050157,0.37144
0,0.99997,0.0072611,-0.078103,0.050165,0.37043
0,0.99997,0.0072623,-0.078103,0.050172,0.36943
0,0.99997,0.0072613,-0.078103,0.050179,0.36841
0,0.99997,0.0072602,-0.078103,0.050187,0.3674
0,0.99997,0.0072605,-0.078103,0.050194,0.36639
0,0.99997,0.0072605,-0.078103,0.050201,0.36538
0,0.99997,0.0072603,-0.078103,0.050209,0.36436
0,0.99997,0.0072616,-0.078103,0.050216,0.36335
0,0.99997,0.0072609,-0.078103,0.050224,0.36233
0,0.99997,0.0072617,-0.078103,0.050231,0.36131
0,0.99997,0.0072622,-0.078103,0.050238,0.3603
0,0.99997,0.0072605,-0.078103,0.050246,0.35927
0,0.99997,0.0072606,-0.078103,0.050253,0.35825
0,0.99997,0.0072602,-0.078103,0.050261,0.35723
0,0.99997,0.0072614,-0.078103,0.050268,0.35621
0,0.99997,0.0072605,-0.078103,0.050276,0.35518
0,0.99997,0.0072612,-0.078103,0.050283,0.35415
0,0.99997,0.0072616,-0.078103,0.05029,0.35313
0,0.99997,0.0072599,-0.078103,0.050298,0.3521
0,0.99997,0.0072615,-0.078103,0.050305,0.35106
0,0.99997,0.0072611,-0.078103,0.050313,0.35003
0,0.99997,0.0072604,-0.078103,0.05032,0.349
0,0.99997,0.007261,-0.078103,0.050328,0.34796
0,0.99997,0.0072616,-0.078103,0.050335,0.34692
0,0.99997,0.0072619,-0.078103,0.050343,0.34588
0,0.99997,0.00726,-0.078103,0.050351,0.34484
0,0.99997,0.0072598,-0.078103,0.050358,0.3438
0,0.99997,0.007261,-0.078103,0.050366,0.34275
0,0.99997,0.0072618,-0.078103,0.050373,0.34171
0,0.99997,0.0072606,-0.078103,0.050381,0.34066
0,0.99997,0.007261,-0.078103,0.050389,0.33961
0,0.99997,0.0072611,-0.078103,0.050396,0.33855
0,0.99997,0.0072609,-0.078103,0.050404,0.3375
0,0.99997,0.0072605,-0.078103,0.050412,0.33644
0,0.99997,0.0072615,-0.078103,0.050419,0.33538
0,0.99997,0.0072621,-0.078103,0.050427,0.33432
0,0.99997,0.0072608,-0.078103,0.050435,0.33326
0,0.99997,0.0072611,-0.078103,0.050442,0.33219
0,0.99997,0.007261,-0.078103,0.05045,0.33112
0,0.99997,0.0072604,-0.078103,0.050458,0.33005
0,0.99997,0.0072598,-0.078103,0.050466,0.32898
0,0.99997,0.0072607,-0.078103,0.050474,0.3279
0,0.99997,0.0072612,-0.078103,0.050481,0.32683
0,0.99997,0.0072614,-0.078103,0.050489,0.32575
0,0.99997,0.0072613,-0.078103,0.050497,0.32466
0,0.99997,0.007261,-0.078103,0.050505,0.32358
0,0.99997,0.0072604,-0.078103,0.050513,0.32249
0,0.99997,0.0072613,-0.078103,0.050521,0.3214
0,0.99997,0.0072618,-0.078103,0.050529,0.3203
0,0.99997,0.0072603,-0.078103,0.050537,0.31921
0,0.99997,0.0072604,-0.078103,0.050545,0.31811
0,0.99997,0.0072618,-0.078103,0.050553,0.31701
0,0.99997,0.0072612,-0.078103,0.050561,0.3159
0,0.99997,0.0072605,-0.078103,0.050569,0.31479
0,0.99997,0.0072609,-0.078103,0.050577,0.31368
0,0.99997,0.0072612,-0.078103,0.050585,0.31257
0,0.99997,0.0072612,-0.078103,0.050593,0.31145
0,0.99997,0.007261,-0.078103,0.050601,0.31033
0,0.99997,0.0072605,-0.078103,0.050609,0.30921
0,0.99997,0.0072597,-0.078103,0.050618,0.30808
0,0.99997,0.0072602,-0.078103,0.050626,0.30695
0,0.99997,0.0072622,-0.078103,0.050634,0.30582
0,0.99997,0.0072622,-0.078103,0.050642,0.30468
0,0.99997,0.0072603,-0.078103,0.05065,0.30355
0,0.99997,0.0072612,-0.078103,0.050659,0.3024
0,0.99997,0.0072605,-0.078103,0.050667,0.30126
0,0.99997,0.0072594,-0.078103,0.050675,0.30011
0,0.99997,0.0072613,-0.078103,0.050684,0.29895
0,0.99997,0.0072613,-0.078103,0.050692,0.2978
0,0.99997,0.0072608,-0.078103,0.050701,0.29664
0,0.99997,0.0072619,-0.078103,0.050709,0.29547
0,0.99997,0.0072611,-0.078103,0.050718,0.2943
0,0.99997,0.0072599,-0.078103,0.050726,0.29313
0,0.99997,0.0072616,-0.078103,0.050735,0.29196
0,0.99997,0.0072616,-0.078103,0.050743,0.29078
0,0.99997,0.0072611,-0.078103,0.050752,0.28959
0,0.99997,0.0072605,-0.078103,0.05076,0.28841
0,0.99997,0.0072596,-0.078103,0.050769,0.28722
0,0.99997,0.0072615,-0.078103,0.050778,0.28602
0,0.99997,0.0072615,-0.078103,0.050786,0.28482
0,0.99997,0.0072614,-0.078103,0.050795,0.28362
0,0.99997,0.007261,-0.078103,0.050804,0.28241
0,0.99997,0.0072601,-0.078103,0.050813,0.2812
0,0.99997,0.0072606,-0.078103,0.050822,0.27998
0,0.99997,0.0072609,-0.078103,0.05083,0.27876
0,0.99997,0.0072608,-0.078103,0.050839,0.27754
0,0.99997,0.0072605,-0.078103,0.050848,0.27631
0,0.99997,0.0072614,-0.078103,0.050857,0.27508
0,0.99997,0.007262,-0.078103,0.050866,0.27384
0,0.99997,0.0072608,-0.078103,0.050875,0.2726
0,0.99997,0.0072609,-0.078103,0.050884,0.27135
0,0.99997,0.0072607,-0.078103,0.050893,0.2701
0,0.99997,0.0072602,-0.078103,0.050902,0.26884
0,0.99997,0.0072609,-0.078103,0.050912,0.26758
0,0.99997,0.0072613,-0.078103,0.050921,0.26632
0,0.99997,0.0072615,-0.078103,0.05093,0.26504
0,0.99997,0.0072614,-0.078103,0.050939,0.26377
0,0.99997,0.007261,-0.078103,0.050949,0.26249
0,0.99997,0.0072604,-0.078103,0.050958,0.2612
0,0.99997,0.0072608,-0.078103,0.050967,0.25991
0,0.99997,0.007261,-0.078103,0.050977,0.25862
0,0.99997,0.007261,-0.078103,0.050986,0.25732
0,0.99997,0.0072606,-0.078103,0.050996,0.25601
0,0.99997,0.0072614,-0.078103,0.051005,0.2547
0,0.99997,0.0072606,-0.078103,0.051015,0.25338
0,0.99997,0.0072608,-0.078103,0.051024,0.25206
0,0.99997,0.0072622,-0.078103,0.051034,0.25074
0,0.99997,0.0072605,-0.078103,0.051044,0.2494
0,0.99997,0.0072599,-0.078103,0.051053,0.24807
0,0.99997,0.0072618,-0.078103,0.051063,0.24672
0,0.99997,0.0072621,-0.078103,0.051073,0.24537
0,0.99997,0.0072607,-0.078103,0.051083,0.24402
0,0.99997,0.0072603,-0.078103,0.051093,0.24266
0,0.99997,0.0072611,-0.078103,0.051102,0.24129
0,0.99997,0.0072616,-0.078103,0.051112,0.23992
0,0.99997,0.0072606,-0.078103,0.051122,0.23854
0,0.99997,0.0072605,-0.078103,0.051132,0.23716
0,0.99997,0.0072615,-0.078103,0.051143,0.23577
0,0.99997,0.0072609,-0.078103,0.051153,0.23438
0,0.99997,0.00726,-0.078103,0.051163,0.23298
0,0.99997,0.0072615,-0.078103,0.051173,0.23157
0,0.99997,0.0072614,-0.078103,0.051183,0.23015
0,0.99997,0.0072597,-0.078103,0.051194,0.22873
0,0.99997,0.0072603,-0.078103,0.051204,0.22731
0,0.99997,0.007262,-0.078103,0.051214,0.22588
0,0.99997,0.0072608,-0.078103,0.051225,0.22444
0,0.99997,0.0072606,-0.078103,0.051235,0.22299
0,0.99997,0.0072614,-0.078103,0.051246,0.22154
0,0.99997,0.0072607,-0.078103,0.051256,0.22008
0,0.99997,0.007261,-0.078103,0.051267,0.21862
0,0.99997,0.0072609,-0.078103,0.051278,0.21715
0,0.99997,0.0072606,-0.078103,0.051289,0.21567
0,0.99997,0.0072613,-0.078103,0.051299,0.21418
0,0.99997,0.0072618,-0.078103,0.05131,0.21269
0,0.99997,0.0072606,-0.078103,0.051321,0.21119
0,0.99997,0.0072604,-0.078103,0.051332,0.20969
0,0.99997,0.0072612,-0.078103,0.051343,0.20817
0,0.99997,0.0072606,-0.078103,0.051354,0.20666
0,0.99997,0.0072608,-0.078103,0.051365,0.20513
0,0.99997,0.007262,-0.078103,0.051376,0.2036
0,0.99997,0.0072617,-0.078103,0.051387,0.20205
0,0.99997,0.0072611,-0.078103,0.051399,0.20051
0,0.99997,0.0072602,-0.078103,0.05141,0.19895
0,0.99997,0.0072603,-0.078103,0.051421,0.19739
0,0.99997,0.0072613,-0.078103,0.051433,0.19582
0,0.99997,0.0072607,-0.078103,0.051444,0.19424
0,0.99997,0.0072612,-0.078103,0.051456,0.19265
0,0.99997,0.0072613,-0.078103,0.051467,0.19106
0,0.99997,0.00726,-0.078103,0.051479,0.18946
0,0.99997,0.0072607,-0.078103,0.051491,0.18785
0,0.99997,0.0072612,-0.078103,0.051502,0.18623
0,0.99997,0.0072613,-0.078103,0.051514,0.18461
0,0.99997,0.0072612,-0.078103,0.051526,0.18298
0,0.99997,0.0072608,-0.078103,0.051538,0.18134
0,0.99997,0.0072613,-0.078103,0.05155,0.17969
0,0.99997,0.0072615,-0.078103,0.051562,0.17803
0,0.99997,0.0072603,-0.078103,0.051574,0.17637
0,0.99997,0.0072611,-0.078103,0.051586,0.17469
0,0.99997,0.0072615,-0.078103,0.051598,0.17301
0,0.99997,0.0072606,-0.078103,0.051611,0.17132
0,0.99997,0.0072605,-0.078103,0.051623,0.16963
0,0.99997,0.0072613,-0.078103,0.051635,0.16792
0,0.99997,0.0072617,-0.078103,0.051648,0.1662
0,0.99997,0.0072608,-0.078103,0.05166,0.16448
0,0.99997,0.0072607,-0.078103,0.051673,0.16275
0,0.99997,0.0072603,-0.078103,0.051685,0.16101
0,0.99997,0.0072607,-0.078103,0.051698,0.15926
0,0.99997,0.0072608,-0.078103,0.051711,0.1575
0,0.99997,0.0072607,-0.078103,0.051724,0.15573
0,0.99997,0.0072613,-0.078103,0.051737,0.15395
0,0.99997,0.0072617,-0.078103,0.05175,0.15216
0,0.99997,0.0072607,-0.078103,0.051763,0.15037
0,0.99997,0.0072605,-0.078103,0.051776,0.14856
0,0.99997,0.007261,-0.078103,0.051789,0.14675
0,0.99997,0.0072613,-0.078103,0.051802,0.14493
0,0.99997,0.0072613,-0.078103,0.051816,0.14309
0,0.99997,0.007261,-0.078103,0.051829,0.14125
0,0.99997,0.0072614,-0.078103,0.051842,0.1394
0,0.99997,0.0072605,-0.078103,0.051856,0.13754
0,0.99997,0.0072604,-0.078103,0.051869,0.13567
0,0.99997,0.007261,-0.078103,0.051883,0.13379
0,0.99997,0.0072613,-0.078103,0.051897,0.13189
0,0.99997,0.0072614,-0.078103,0.051911,0.12999
0,0.99997,0.0072611,-0.078103,0.051925,0.12808
0,0.99997,0.0072606,-0.078103,0.051938,0.12616
0,0.99997,0.0072608,-0.078103,0.051952,0.12423
