"Points:0","Points:1","Points:2"
-0.063288,0.048223,0.39381
-0.06488,0.047511,0.39381
-0.063288,0.048936,0.39469
-0.06488,0.048223,0.39469
-0.066436,0.047511,0.39469
-0.063288,0.049648,0.39556
-0.06488,0.048936,0.39556
-0.066436,0.048223,0.39556
-0.067991,0.047511,0.39556
-0.06488,0.049648,0.3965
-0.066436,0.048936,0.3965
-0.067991,0.048223,0.3965
-0.069547,0.047511,0.3965
-0.045408,0.043488,0.3965
-0.047012,0.043554,0.3975
-0.046987,0.044353,0.3965
-0.049114,0.043555,0.3985
-0.049114,0.044355,0.3975
-0.049114,0.045155,0.3965
-0.051104,0.043555,0.3995
-0.051104,0.044355,0.3985
-0.051104,0.045155,0.3975
-0.051104,0.045955,0.3965
-0.053007,0.044355,0.3995
-0.053007,0.045155,0.3985
-0.053007,0.045955,0.3975
-0.053007,0.046755,0.3965
-0.054836,0.045155,0.3995
-0.054836,0.045955,0.3985
-0.054836,0.046755,0.3975
-0.054836,0.047511,0.3965
-0.056604,0.045955,0.3995
-0.056604,0.046755,0.3985
-0.056604,0.047511,0.3975
-0.056604,0.047511,0.39556
-0.056604,0.048223,0.3965
-0.058321,0.046755,0.3995
-0.058321,0.047511,0.3985
-0.058321,0.048223,0.3975
-0.058321,0.047511,0.39469
-0.058321,0.048223,0.39556
-0.058321,0.048936,0.3965
-0.06,0.047511,0.3995
-0.06,0.048223,0.3985
-0.06,0.048936,0.3975
-0.06,0.047511,0.39381
-0.06,0.048223,0.39469
-0.06,0.048936,0.39556
-0.06,0.049648,0.3965
-0.061652,0.048223,0.3995
-0.061652,0.048936,0.3985
-0.061652,0.049648,0.3975
-0.061652,0.047511,0.39294
-0.061652,0.048223,0.39381
-0.061652,0.048936,0.39469
-0.061652,0.049648,0.39556
-0.063288,0.048936,0.3995
-0.06488,0.048223,0.3995
-0.066436,0.047511,0.3995
-0.063288,0.049648,0.3985
-0.06488,0.048936,0.3985
-0.066436,0.048223,0.3985
-0.067991,0.047511,0.3985
-0.06488,0.049648,0.3975
-0.066436,0.048936,0.3975
-0.067991,0.048223,0.3975
-0.069547,0.047511,0.3975
-0.063288,0.048223,0.39294
-0.06488,0.047511,0.39294
-0.063288,0.047514,0.392
-0.063288,0.048936,0.39381
-0.06488,0.048223,0.39381
-0.066436,0.047511,0.39381
-0.063288,0.049648,0.39469
-0.06488,0.048936,0.39469
-0.066436,0.048223,0.39469
-0.067991,0.047511,0.39469
-0.06488,0.049648,0.39556
-0.066436,0.048936,0.39556
-0.067991,0.048223,0.39556
-0.069547,0.047511,0.39556
-0.066436,0.049648,0.3965
-0.067991,0.048936,0.3965
-0.069547,0.048223,0.3965
-0.071103,0.047511,0.3965
-0.044388,0.043228,0.3965
-0.045408,0.043488,0.3975
-0.045285,0.044275,0.3965
-0.047012,0.043554,0.3985
-0.046987,0.044353,0.3975
-0.046962,0.045153,0.3965
-0.049114,0.043555,0.3995
-0.049114,0.044355,0.3985
-0.049114,0.045155,0.3975
-0.049114,0.045955,0.3965
-0.051104,0.044355,0.3995
-0.051104,0.045155,0.3985
-0.051104,0.045955,0.3975
-0.051104,0.046755,0.3965
-0.053007,0.045155,0.3995
-0.053007,0.045955,0.3985
-0.053007,0.046755,0.3975
-0.053007,0.047511,0.3965
-0.054836,0.045955,0.3995
-0.054836,0.046755,0.3985
-0.054836,0.047511,0.3975
-0.054836,0.047511,0.39556
-0.054836,0.048223,0.3965
-0.056604,0.046755,0.3995
-0.056604,0.047511,0.3985
-0.056604,0.048223,0.3975
-0.056604,0.047511,0.39469
-0.056604,0.048223,0.39556
-0.056604,0.048936,0.3965
-0.058321,0.047511,0.3995
-0.058321,0.048223,0.3985
-0.058321,0.048936,0.3975
-0.058321,0.047511,0.39381
-0.058321,0.048223,0.39469
-0.058321,0.048936,0.39556
-0.058321,0.049648,0.3965
-0.06,0.048223,0.3995
-0.06,0.048936,0.3985
-0.06,0.049648,0.3975
-0.06,0.047511,0.39294
-0.06,0.048223,0.39381
-0.06,0.048936,0.39469
-0.06,0.049648,0.39556
-0.061652,0.048936,0.3995
-0.061652,0.049648,0.3985
-0.061652,0.048223,0.39294
-0.061652,0.047514,0.392
-0.061652,0.048936,0.39381
-0.061652,0.049648,0.39469
-0.063288,0.049648,0.3995
-0.06488,0.048936,0.3995
-0.066436,0.048223,0.3995
-0.067991,0.047511,0.3995
-0.06488,0.049648,0.3985
-0.066436,0.048936,0.3985
-0.067991,0.048223,0.3985
-0.069547,0.047511,0.3985
-0.066436,0.049648,0.3975
-0.067991,0.048936,0.3975
-0.069547,0.048223,0.3975
-0.071103,0.047511,0.3975
-0.063288,0.048936,0.39294
-0.06488,0.048223,0.39294
-0.063288,0.048227,0.392
-0.066436,0.047511,0.39294
-0.06488,0.047514,0.392
-0.063288,0.047522,0.391
-0.063288,0.049648,0.39381
-0.06488,0.048936,0.39381
-0.066436,0.048223,0.39381
-0.067991,0.047511,0.39381
-0.06488,0.049648,0.39469
-0.066436,0.048936,0.39469
-0.067991,0.048223,0.39469
-0.069547,0.047511,0.39469
-0.066436,0.049648,0.39556
-0.067991,0.048936,0.39556
-0.069547,0.048223,0.39556
-0.071103,0.047511,0.39556
-0.067991,0.049648,0.3965
-0.069547,0.048936,0.3965
-0.071103,0.048223,0.3965
-0.072658,0.047511,0.3965
-0.043451,0.042723,0.3965
-0.044388,0.043228,0.3975
-0.0441,0.043968,0.3965
-0.045408,0.043488,0.3985
-0.045285,0.044275,0.3975
-0.045163,0.045062,0.3965
-0.047012,0.043554,0.3995
-0.046987,0.044353,0.3985
-0.046962,0.045153,0.3975
-0.046938,0.045952,0.3965
-0.049114,0.044355,0.3995
-0.049114,0.045155,0.3985
-0.049114,0.045955,0.3975
-0.049114,0.046755,0.3965
-0.051104,0.045155,0.3995
-0.051104,0.045955,0.3985
-0.051104,0.046755,0.3975
-0.051104,0.047511,0.3965
-0.053007,0.045955,0.3995
-0.053007,0.046755,0.3985
-0.053007,0.047511,0.3975
-0.053007,0.047511,0.39556
-0.053007,0.048223,0.3965
-0.054836,0.046755,0.3995
-0.054836,0.047511,0.3985
-0.054836,0.048223,0.3975
-0.054836,0.047511,0.39469
-0.054836,0.048223,0.39556
-0.054836,0.048936,0.3965
-0.056604,0.047511,0.3995
-0.056604,0.048223,0.3985
-0.056604,0.048936,0.3975
-0.056604,0.047511,0.39381
-0.056604,0.048223,0.39469
-0.056604,0.048936,0.39556
-0.056604,0.049648,0.3965
-0.058321,0.048223,0.3995
-0.058321,0.048936,0.3985
-0.058321,0.049648,0.3975
-0.058321,0.047511,0.39294
-0.058321,0.048223,0.39381
-0.058321,0.048936,0.39469
-0.058321,0.049648,0.39556
-0.06,0.048936,0.3995
-0.06,0.049648,0.3985
-0.06,0.048223,0.39294
-0.06,0.047514,0.392
-0.06,0.048936,0.39381
-0.06,0.049648,0.39469
-0.061652,0.049648,0.3995
-0.061652,0.048936,0.39294
-0.061652,0.048227,0.392
-0.061652,0.047522,0.391
-0.061652,0.049648,0.39381
-0.06488,0.049648,0.3995
-0.066436,0.048936,0.3995
-0.067991,0.048223,0.3995
-0.069547,0.047511,0.3995
-0.066436,0.049648,0.3985
-0.067991,0.048936,0.3985
-0.069547,0.048223,0.3985
-0.071103,0.047511,0.3985
-0.067991,0.049648,0.3975
-0.069547,0.048936,0.3975
-0.071103,0.048223,0.3975
-0.072658,0.047511,0.3975
-0.063288,0.049648,0.39294
-0.06488,0.048936,0.39294
-0.063288,0.048939,0.392
-0.066436,0.048223,0.39294
-0.06488,0.048227,0.392
-0.063288,0.048234,0.391
-0.067991,0.047511,0.39294
-0.066436,0.047514,0.392
-0.06488,0.047522,0.391
-0.063288,0.047529,0.39
-0.06488,0.049648,0.39381
-0.066436,0.048936,0.39381
-0.067991,0.048223,0.39381
-0.069547,0.047511,0.39381
-0.066436,0.049648,0.39469
-0.067991,0.048936,0.39469
-0.069547,0.048223,0.39469
-0.071103,0.047511,0.39469
-0.067991,0.049648,0.39556
-0.069547,0.048936,0.39556
-0.071103,0.048223,0.39556
-0.072658,0.047511,0.39556
-0.069547,0.049648,0.3965
-0.071103,0.048936,0.3965
-0.072658,0.048223,0.3965
-0.074214,0.047511,0.3965
-0.042666,0.042003,0.3965
-0.043451,0.042723,0.3975
-0.042991,0.04337,0.3965
-0.044388,0.043228,0.3985
-0.0441,0.043968,0.3975
-0.043813,0.044708,0.3965
-0.045408,0.043488,0.3995
-0.045285,0.044275,0.3985
-0.045163,0.045062,0.3975
