1.05E+00,3.59E-03
1.43E-01,3.59E-03
-7.64E-01,3.59E-03
-1.67E+00,3.59E-03
-2.58E+00,3.59E-03
-3.48E+00,3.59E-03
-4.39E+00,3.59E-03
-5.30E+00,3.59E-03
-5.30E+00,3.59E-03
-6.30E+00,3.59E-03
-7.31E+00,3.59E-03
-8.35E+00,3.59E-03
-9.42E+00,3.59E-03
-1.05E+01,3.59E-03
-1.17E+01,3.59E-03
-1.28E+01,3.59E-03
-1.40E+01,3.59E-03
-1.53E+01,3.59E-03
-1.67E+01,3.59E-03
-1.81E+01,3.59E-03
-1.94E+01,2.14E-03
-2.07E+01,4.80E-02
-2.18E+01,1.85E-01
-2.29E+01,4.20E-01
-2.40E+01,7.55E-01
-2.51E+01,1.19E+00
-2.61E+01,1.73E+00
-2.71E+01,2.36E+00
-2.81E+01,3.08E+00
-2.89E+01,3.88E+00
-2.97E+01,4.77E+00
-3.05E+01,5.71E+00
-3.11E+01,6.71E+00
-3.16E+01,7.75E+00
-3.20E+01,8.81E+00
-3.24E+01,9.89E+00
-3.26E+01,1.10E+01
-3.27E+01,1.22E+01
-3.29E+01,1.39E+01
-3.31E+01,1.59E+01
-3.32E+01,1.78E+01
-3.34E+01,1.98E+01
-3.36E+01,2.18E+01
-3.38E+01,2.39E+01
-3.39E+01,2.59E+01
-3.41E+01,2.80E+01
-3.43E+01,3.00E+01
-3.45E+01,3.21E+01
-3.47E+01,3.41E+01
-3.48E+01,3.61E+01
-3.50E+01,3.82E+01
-3.52E+01,4.06E+01
-3.58E+01,4.28E+01
-3.69E+01,4.51E+01
-3.87E+01,4.72E+01
-4.08E+01,4.87E+01
-4.33E+01,4.97E+01
-4.55E+01,5.00E+01
-4.81E+01,5.00E+01
-5.01E+01,5.00E+01
-5.21E+01,5.00E+01
-5.39E+01,5.00E+01
-5.57E+01,5.00E+01
-5.75E+01,5.00E+01
-5.92E+01,5.00E+01
-6.08E+01,5.00E+01
-6.25E+01,5.00E+01
-6.41E+01,5.00E+01
-6.41E+01,5.00E+01
-6.57E+01,5.00E+01
-6.72E+01,5.00E+01
-6.88E+01,5.00E+01
-7.03E+01,5.00E+01
-7.19E+01,5.00E+01
-7.34E+01,5.00E+01
-7.50E+01,5.00E+01
-7.65E+01,5.00E+01
-7.81E+01,5.00E+01
